"Site","n"
"B1_I",7
"B2_I",8
"B3_I",6
"B4_I",6
"B5_I",8
"B6_I",5
"C1_I",8
"C2_I",8
"C3_I",6
"R1_I",5
"R2_I",7
"R3_I",8
