"Site","n"
"B1_C",8
"B2_C",8
"B3_C",8
"B4_C",8
"B5_C",8
"C1_C",8
"C2_C",6
"C3_C",7
"C4_C",8
"R1_C",8
"R2_C",6
"R3_C",7
